title,abstract,source
Natural Language Processing and Schizophrenia: A Scoping Review of Uses and Challenges,"(1) Background: Approximately 1% of the global population is affected by schizophrenia, a disorder marked by cognitive deficits, delusions, hallucinations, and language issues. It is associated with genetic, neurological, and environmental factors, and linked to dopaminergic hyperactivity and neurotransmitter imbalances. Recent research reveals that patients exhibit significant language impairments, such as reduced verbal output and fluency. Advances in machine learning and natural language processing show potential for early diagnosis and personalized treatments, but additional research is required for the practical application and interpretation of such technology. The objective of this study is to explore the applications of natural language processing in patients diagnosed with schizophrenia. (2) Methods: A scoping review was conducted across multiple electronic databases, including Medline, PubMed, Embase, and PsycInfo. The search strategy utilized a combination of text words and subject headings, focusing on schizophrenia and natural language processing. Systematically extracted information included authors, population, primary uses of the natural language processing algorithms, main outcomes, and limitations. The quality of the identified studies was assessed. (3) Results: A total of 516 eligible articles were identified, from which 478 studies were excluded based on the first analysis of titles and abstracts. Of the remaining 38 studies, 18 were selected as part of this scoping review. The following six main uses of natural language processing were identified: diagnostic and predictive modeling, followed by specific linguistic phenomena, speech and communication analysis, social media and online content analysis, clinical and cognitive assessment, and linguistic feature analysis. (4) Conclusions: This review highlights the main uses of natural language processing in the field of schizophrenia and the need for more studies to validate the effectiveness of natural language processing in diagnosing and treating schizophrenia",PubMed
Harnessing generative AI to annotate the severity of all phenotypic abnormalities within the Human Phenotype Ontology,"0.1There are thousands of human phenotypes which are linked to genetic variation. These range from the benign (white eyelashes) to the deadly (respiratory failure). The Human Phenotype Ontology has categorised all human phenotypic variation into a unified framework that defines the relationships between them (e.g. missing arms and missing legs are both abnormalities of the limb). This has made it possible to perform phenome-wide analyses, e.g. to prioritise which make the best candidates for gene therapies. However, there is currently limited metadata describing the clinical characteristics / severity of these phenotypes. With >17500 phenotypic abnormalities across >8600 rare diseases, manual curation of such phenotypic annotations by experts would be exceedingly labour-intensive and time-consuming. Leveraging advances in artificial intelligence, we employed the OpenAI GPT-4 large language model (LLM) to systematically annotate the severity of all phenotypic abnormalities in the HPO. Phenotypic severity was defined using a set of clinical characteristics and their frequency of occurrence. First, we benchmarked the generative LLM clinical characteristic annotations against ground-truth labels within the HPO (e.g. phenotypes in the  Cancer HPO branch were annotated as causing cancer by GPT-4). True positive recall rates across different clinical characteristics ranged from 89-100% (mean=96%), clearly demonstrating the ability of GPT-4 to automate the curation process with a high degree of fidelity. Using a novel approach, we developed a severity scoring system that incorporates both the nature of the clinical characteristic and the frequency of its occurrence. These clinical characteristic severity metrics will enable efforts to systematically prioritise which human phenotypes are most detrimental to human health, and best targets for therapeutic intervention",medrxiv
Leveraging hierarchical structures for genetic block interaction studies using the hierarchical transformer,"1.Initially introduced in 1909 by William Bateson, classic epistasis (genetic variant interaction) refers to the phenomenon that one variant prevents another variant from a different locus from manifesting its effects. The potential effects of genetic variant interactions on complex diseases have been recognized for the past decades. Moreover, It has been studied and demonstrated that leveraging the combined SNP effects within the genetic block can significantly increase calculation power, reducing background noise, ultimately leading to novel epistasis discovery that the single SNP statistical epistasis study might overlook. However, it is still an open question how we can best combine gene structure representation modelling and interaction learning into an end-to-end model for gene interaction searching. Here, in the current study, we developed a neural genetic block interaction searching model that can effectively process large SNP chip inputs and output the potential genetic block interaction heatmap. Our model augments a previously published hierarchical transformer architecture (Liu and Lapata, 2019) with the ability to model genetic blocks. The cross-block relationship mapping was achieved via a hierarchical attention mechanism which allows the sharing of information regarding specific phenotypes, as opposed to simple unsupervised dimensionality reduction methods e.g. PCA. Results on both simulation and UK Biobank studies show our model brings substantial improvements compared to traditional exhaustive searching and neural network methods
==========
Initially introduced in 1909 by William Bateson, classic epistasis (genetic variant interaction) refers to the phenomenon that one variant prevents another variant from a different locus from manifesting its effects. The potential effects of genetic variant interactions on complex diseases have been recognized for the past decades. Moreover, It has been studied and demonstrated that leveraging the combined SNP effects within the genetic block can significantly increase calculation power, reducing background noise, ultimately leading to novel epistasis discovery that the single SNP statistical epistasis study might overlook. However, it is still an open question how we can best combine gene structure representation modelling and interaction learning into an end-to-end model for gene interaction searching. Here, in the current study, we developed a neural genetic block interaction searching model that can effectively process large SNP chip inputs and output the potential genetic block interaction heatmap. Our model augments a previously published hierarchical transformer architecture (Liu and Lapata, 2019) with the ability to model genetic blocks. The cross-block relationship mapping was achieved via a hierarchical attention mechanism which allows the sharing of information regarding specific phenotypes, as opposed to simple unsupervised dimensionality reduction methods e.g. PCA. Results on both simulation and UK Biobank studies show our model brings substantial improvements compared to traditional exhaustive searching and neural network methods","PubMed,medrxiv"
16S rRNA gene sequencing for bacterial identification and infectious disease diagnosis,"16S rRNA gene sequence is the most common housekeeping genetic marker to study bacterial phylogeny and taxonomy. Therefore, 16S rRNA gene sequencing has the potential to identify novel bacteria and diagnose bacteria. This study compared 16S rRNA gene sequencing with conventional PCR for bacterial identification and disease diagnosis. The bacterial community in healthy and diseased hosts was analyzed by 16S rRNA gene sequencing. 16S rRNA gene sequencing is more sensitive than conventional PCR in detecting bacteria. Moreover, 16S rRNA gene sequencing is adequate to identify novel bacteria. 16S rRNA gene sequencing demonstrated that most pathogenic bacteria persist in diseased or healthy hosts in different abundance. Pathogenic bacteria, such as well-known chicken pathogen Avibacterium paragallinarum, Ornithobacterium rhinotracheale, and Gallibacterium anatis, were identified as indicator species of diseased samples. Alpha diversity analysis showed that the healthy group species is significantly higher than in the diseased groups. Beta diversity analysis also demonstrated differences between healthy and infected groups. The study concluded that 16S rRNA gene sequencing is a more sensitive method for detecting pathogens, and microbiota analysis can distinguish between healthy and diseased samples. Eventually, 16S rRNA gene sequencing has represented the potential in human and animal clinical diagnosis and novel bacterial identification",biorxiv
A Systematic Review of Testing and Evaluation of Healthcare Applications of Large Language Models (LLMs),"1ImportanceLarge Language Models (LLMs) can assist in a wide range of healthcare-related activities. Current approaches to evaluating LLMs make it difficult to identify the most impactful LLM application areas.  ObjectiveTo summarize the current evaluation of LLMs in healthcare in terms of 5 components: evaluation data type, healthcare task, Natural Language Processing (NLP)/Natural Language Understanding (NLU) task, dimension of evaluation, and medical specialty.  Data SourcesA systematic search of PubMed and Web of Science was performed for studies published between 01-01-2022 and 02-19-2024.  Study SelectionStudies evaluating one or more LLMs in healthcare.  Data Extraction and SynthesisThree independent reviewers categorized 519 studies in terms of data used in the evaluation, the healthcare tasks (the what) and the NLP/NLU tasks (the how) examined, the dimension(s) of evaluation, and the medical specialty studied.  ResultsOnly 5% of reviewed studies utilized real patient care data for LLM evaluation. The most popular healthcare tasks were assessing medical knowledge (e.g. answering medical licensing exam questions, 44.5%), followed by making diagnoses (19.5%), and educating patients (17.7%). Administrative tasks such as assigning provider billing codes (0.2%), writing prescriptions (0.2%), generating clinical referrals (0.6%) and clinical notetaking (0.8%) were less studied. For NLP/NLU tasks, the vast majority of studies examined question answering (84.2%). Other tasks such as summarization (8.9%), conversational dialogue (3.3%), and translation (3.1%) were infrequent. Almost all studies (95.4%) used accuracy as the primary dimension of evaluation; fairness, bias and toxicity (15.8%), robustness (14.8%), deployment considerations (4.6%), and calibration and uncertainty (1.2%) were infrequently measured. Finally, in terms of medical specialty area, most studies were in internal medicine (42%), surgery (11.4%) and ophthalmology (6.9%), with nuclear medicine (0.6%), physical medicine (0.4%) and medical genetics (0.2%) being the least represented.  Conclusions and RelevanceExisting evaluations of LLMs mostly focused on accuracy of question answering for medical exams, without consideration of real patient care data. Dimensions like fairness, bias and toxicity, robustness, and deployment considerations received limited attention. To draw meaningful conclusions and improve LLM adoption, future studies need to establish a standardized set of LLM applications and evaluation dimensions, perform evaluations using data from routine care, and broaden testing to include administrative tasks as well as multiple medical specialties.  Key PointsO_ST_ABSQuestionC_ST_ABSHow are healthcare applications of large language models (LLMs) currently evaluated?  FindingsStudies rarely used real patient care data for LLM evaluation. Administrative tasks such as generating provider billing codes and writing prescriptions were understudied. Natural Language Processing (NLP)/Natural Language Understanding (NLU) tasks like summarization, conversational dialogue, and translation were infrequently explored. Accuracy was the predominant dimension of evaluation, while fairness, bias and toxicity assessments were neglected. Evaluations in specialized fields, such as nuclear medicine and medical genetics were rare.  MeaningCurrent LLM assessments in healthcare remain shallow and fragmented. To draw concrete insights on their performance, evaluations need to use real patient care data across a broad range of healthcare and NLP/NLU tasks and medical specialties with standardized dimensions of evaluation",medrxiv
Genomic epidemiology of the primary methicillin-resistant Staphylococcus aureus clones causing invasive infections in Paraguayan children,"2.Methicillin-resistant Staphylococcus aureus (MRSA) is one of the major human pathogens, causing a wide range of infections from food poisoning to necrotizing pneumonia, endocarditis, or septicemia. It could carry numerous resistance genes and virulence factors, some of which are related to the severity of the infection, being also regarded as a potential ""Super Bug"". In Paraguay, the prevalence of CC30-ST30-IV clones is the leading cause of S. aureus infections both at the regional level and in pediatric population. Here we aimed to deeply analyze the genomic features of MRSA isolates that cause invasive infections in Paraguayan children. An observational, descriptive, cross-sectional study was designed to analyze representative MRSA isolates of the main clones identified between 2009 to 2013 in Paraguayan children. All the genetically linked MRSA isolates were recovered from diverse clinical sources, patients, and hospitals at broad gap periods. Cases were primarily community-acquired, which excludes in-hospital transmission or outbreaks. MRSA isolates were analyzed with short-read paired-end sequencing and assessed for the virulome, resistome, and phylogenetic relationships. The pan-genomic analysis of these clones revealed three major and different clonal complexes (CC8, CC30, and CC5), each composed of clones closely related to each other, despite having different spa types. Furthermore, multiple virulence and resistance genes were identified for the first time in this study, pointing out the complex virulence profiles of MRSA circulating in the country. This study opens a wide range of new possibilities for future projects and trials to improve the existing knowledge on the epidemiology of MRSA circulating in Paraguay.  3. Impact statementThe increasing prevalence of methicillin-resistant Staphylococcus aureus (MRSA) is a public health problem worldwide. The most frequent MRSA clones identified in Paraguay in previous studies were (including community and hospital-acquired) the Pediatric (CC5-ST5-IV), the Cordobes-Chilean (CC5-ST5-I), the SouthWest Pacific (CC30-ST30-IV) and the Brazilian (CC8-ST239-III) clones. In this study, the pan-genomic analysis of the most representative MRSA clones circulating in invasive infection in Paraguayan children over ten years (2009-2019), such as the CC30-ST30-IV, CC5-ST5-IV, and CC8-ST8-IV, were carried out to evaluate their genetic diversity, their virulence factors repertoire, and antimicrobial resistance mechanisms revealed multiple virulences and resistance genes pointing out the complex virulence profiles of MRSA circulating in Paraguay. Our work is the first genomic study of MRSA in Paraguay and will contribute to the development of genomic surveillance in the region and our understanding of this pathogens global epidemiology.  4. Data summaryThe authors confirm all supporting data, code and protocols have been provided within the article or through supplementary data files",medrxiv
Feasibility of identifying factors related to Alzheimer's disease and related dementia in real-world data,"A comprehensive understanding of factors associated with Alzheimers disease (AD) and AD-related dementias (AD/ADRD) will significantly enhance efforts when designing new studies to develop new treatments and identify high-risk populations for prevention. We reviewed existing meta-analyses and review articles on AD/ADRD risk and preventive factors, extracting 477 risk factors across 10 categories from 537 studies. An interactive knowledge graph was created to share our study findings. Most risk factors can be found in structured Electronic Health Records (EHRs), with clinical narratives also providing valuable information. However, assessing genomic risk factors using real-world data (RWD) like EHRs remains a challenge, as genetic testing for AD/ADRD is still not a common practice and poorly documented in both structured and unstructured EHRs. Given the constant and rapid evolution of AD/ADRD research, using natural language processing (NLP) for literature mining emerges as a viable method to continually and automatically update our knowledge graph",medrxiv
Feasibility of Identifying Factors Related to Alzheimer's Disease and Related Dementia in Real-World Data,"A comprehensive view of factors associated with AD/ADRD will significantly aid in studies to develop new treatments for AD/ADRD and identify high-risk populations and patients for prevention efforts. In our study, we summarized the risk factors for AD/ADRD by reviewing existing meta-analyses and review articles on risk and preventive factors for AD/ADRD. In total, we extracted 477 risk factors in 10 categories from 537 studies. We constructed an interactive knowledge map to disseminate our study results. Most of the risk factors are accessible from structured Electronic Health Records (EHRs), and clinical narratives show promise as information sources. However, evaluating genomic risk factors using RWD remains a challenge, as genetic testing for AD/ADRD is still not a common practice and is poorly documented in both structured and unstructured EHRs. Considering the constantly evolving research on AD/ADRD risk factors, literature mining via NLP methods offers a solution to automatically update our knowledge map","PubMed,arXiv"
Modeling cancer dependency with deep graph models,"A fundamental premise for precision oncology is a catalog of diverse actionable targets that could enable personalized treatment. Large scale Genome-wide lost-of-function screens such as cancer dependency map have systematically identified single gene vulnerabilities in numerous cell lines. However, it remains challenging to scale such analyses to many clinical samples and untangle molecular networks underlying observed vulnerabilities. We developed a deep learning framework, DepGPS, combing graph neural networks with transformers to model the network interactions underlying tumor vulnerabilities. Our model demonstrated an improved ability to predict context-specific vulnerabilities over existing models and showed a higher responsiveness in perturbation analysis. Furthermore, perturbation induced dependency changes by our model demonstrated utility to support context-aware identification of synthetic lethal genes. Overall, our model represents a valuable tool to extend tumor vulnerability analyses to broader range of subjects and could help to decipher molecular networks dictating context-specific tumor vulnerabilities",biorxiv
Impaired complement regulation drives chronic lung allograft dysfunction after lung transplantation,"A greater understanding of chronic lung allograft dysfunction (CLAD) pathobiology, the primary cause of mortality after lung transplantation, is needed to improve outcomes. The complement system links innate to adaptive immune responses and is activated early post-lung transplantation to form the C3 convertase, a critical enzyme that cleaves the central complement component C3. We hypothesized that LTx recipients with a genetic predisposition to enhanced complement activation have worse CLAD-free survival mediated through increased adaptive alloimmunity. We interrogated a known functional C3 polymorphism (C3R102G) that increases complement activation through impaired C3 convertase inactivation in two independent LTx recipient cohorts. C3R102G, identified in at least one out of three LTx recipients, was associated with worse CLAD-free survival, particularly in the subset of recipients who developed donor-specific antibodies (DSA). In a mouse orthotopic lung transplantation model, impaired recipient complement regulation resulted in more severe obstructive airway lesions when compared to wildtype controls, despite only moderate differences in graft-infiltrating effector T cells. Impaired complement regulation promoted the intragraft accumulation of memory B cells and antibody-secreting cells, resulting in increased DSA levels. In summary, genetic predisposition to complement activation is associated with B cell activation and worse CLAD-free survival.  BRIEF SUMMARYLung transplant recipients genetically predisposed to impaired complement regulation demonstrate worse chronic rejection-free survival. This phenotype is associated with intragraft B cell-activation and donor-specific antibodies",biorxiv
