T1,T2,T3,T4,T5,T6,T7,T8,source
0.010158582,0.79420656,0.08160647,0.10272322,0.0029232386,0.0012373134,0.005132997,0.002011612,Preprints
0.33064863,0.16127294,0.002485505,0.032905318,0.0037098378,0.0018012043,0.041623127,0.4255534,PubMed
0.33476856,0.44712803,0.0021107714,0.029654454,0.00315572,0.06421025,0.022287432,0.09668478,PubMed
0.09854875,0.02208543,0.026490571,0.0020849432,0.02109996,0.8232808,0.004633108,0.0017764153,PubMed
0.024782145,0.41982275,0.0019892254,0.0028518757,0.0030752476,0.08698883,0.017068611,0.44342127,PubMed
0.13713937,0.15630823,0.113079324,0.035634533,0.0031948597,0.2056841,0.025866302,0.3230933,PubMed
0.091101855,0.28162804,0.3436001,0.06336701,0.14557493,0.027507935,0.040744774,0.006475334,PubMed
0.49340248,0.0976192,0.0011342034,0.0026664818,0.0074207047,0.3921029,0.0041280184,0.001526002,PubMed
0.14520189,0.43204382,0.15268452,0.22566848,0.02684833,0.0017468485,0.012726609,0.0030794574,PubMed
0.9390954,0.0077577634,0.0020564154,0.002890707,0.003171753,0.0015536895,0.04077726,0.0026970226,Preprints
0.14544444,0.28489605,0.0013322182,0.0019802654,0.0029311387,0.12858227,0.0077784383,0.42705518,Preprints
0.7622725,0.11620668,0.052325904,0.010032216,0.002280785,0.035368554,0.019780884,0.0017325118,PubMed
0.36210963,0.247948,0.07021878,0.0034243749,0.018737061,0.0018446262,0.017573925,0.27814358,PubMed
0.117134064,0.8482225,0.0017988975,0.020480577,0.0027493245,0.0013614306,0.006052863,0.0022003516,PubMed
0.17540409,0.040458933,0.077957846,0.0032693322,0.45058694,0.018496769,0.2314194,0.002406682,PubMed
0.17842595,0.3388964,0.0014241543,0.19810706,0.19196297,0.014361382,0.074906304,0.0019157331,PubMed
0.16333328,0.19060318,0.1272806,0.001929609,0.21415175,0.0010150296,0.28800088,0.013685718,PubMed
0.86682034,0.07965353,0.00077150256,0.0011123805,0.0013978871,0.0005763974,0.048738424,0.0009295828,PubMed
0.59873104,0.05550732,0.011007386,0.11716506,0.15106148,0.0012137846,0.063302554,0.0020114365,PubMed
0.15441512,0.030364854,0.48129547,0.15772854,0.017791126,0.001114866,0.006211886,0.15107818,Preprints
0.35134134,0.23885538,0.0018112402,0.0026577562,0.37489992,0.0013448979,0.026917925,0.0021715052,Preprints
0.2721847,0.23311245,0.0016637135,0.08127304,0.0029649541,0.025764786,0.19566219,0.18737413,Preprints
0.4479093,0.18871722,0.0015670281,0.0022519166,0.3369464,0.011582256,0.0091406675,0.0018852276,PubMed
0.34037763,0.34704024,0.0021085802,0.07901118,0.00377254,0.065635026,0.15954682,0.002507964,PubMed
0.52085584,0.057464577,0.021656835,0.10107583,0.07134169,0.0011001832,0.2246633,0.0018417081,PubMed
0.03656771,0.28424942,0.06820968,0.0248529,0.0035097825,0.018811954,0.3821645,0.18163404,Preprints
0.18106245,0.07530997,0.001734813,0.05207697,0.13312784,0.0060092723,0.54870045,0.0019782954,PubMed
0.25699407,0.06890944,0.040016823,0.0024492634,0.31174427,0.2932793,0.0069990684,0.01960775,Preprints
0.312417,0.12788714,0.0024061454,0.0035695306,0.121530995,0.13574909,0.29329777,0.0031423357,Preprints
0.05778712,0.87224287,0.0009686655,0.0013658139,0.043450423,0.0007163956,0.022315511,0.0011531721,PubMed
0.15326989,0.75787914,0.0010753467,0.0019117884,0.03405673,0.045028366,0.005449253,0.0013294893,Preprints
0.06346,0.46017355,0.0009381906,0.0013347144,0.41403252,0.041742764,0.0029378866,0.01538039,PubMed
0.22379579,0.21515729,0.0021003135,0.0030202477,0.51350534,0.0015806172,0.006442881,0.034397513,PubMed
0.41353944,0.0664954,0.001475862,0.2954708,0.0694752,0.0011033494,0.1362879,0.016152022,PubMed
0.14455003,0.2915488,0.0021995062,0.0032075078,0.09111781,0.30048755,0.16409878,0.0027900136,PubMed
0.10068049,0.011605809,0.37616336,0.33722273,0.12979436,0.0020077494,0.039282884,0.0032426561,PubMed
0.21114463,0.27040753,0.0019427532,0.04574172,0.07333581,0.001462245,0.3901425,0.005822783,Preprints
0.024504134,0.06832862,0.0023330166,0.003467459,0.2801813,0.0017399011,0.17493618,0.4445094,Preprints
0.27164665,0.25395972,0.0026280456,0.0039040847,0.4473253,0.0018250196,0.015728747,0.0029824593,Preprints
0.6606705,0.008071177,0.19639511,0.001888207,0.0018904007,0.0009353066,0.12865598,0.0014932915,PubMed
0.13846567,0.28724125,0.001565603,0.036012616,0.50006205,0.009636979,0.025048766,0.0019670986,PubMed
0.5366709,0.1549137,0.0009781602,0.0014467031,0.058008257,0.0007443587,0.2459627,0.0012752188,PubMed
0.43660864,0.12589404,0.0014164856,0.25961825,0.0022138325,0.0010795691,0.17134798,0.001821232,PubMed
0.30558616,0.13686727,0.0030734057,0.09881405,0.14208901,0.09871836,0.21060191,0.004249838,PubMed
0.71949124,0.042057056,0.0013296179,0.0019602391,0.07466235,0.0010052505,0.123076625,0.03641763,PubMed
0.17601566,0.2581071,0.3341614,0.003026835,0.0033801156,0.077123754,0.14556092,0.0026242074,Preprints
0.55974406,0.18794778,0.04327374,0.054760564,0.002813565,0.108827025,0.04043776,0.0021955012,PubMed
0.3177826,0.11743795,0.002928193,0.0044581355,0.14381987,0.017620474,0.3921627,0.003790119,Preprints
0.121711336,0.3925189,0.0012624861,0.0017980234,0.0570496,0.15071096,0.27334562,0.0016030816,PubMed
0.11033705,0.12816796,0.30325466,0.18368493,0.13840415,0.0015756609,0.1029118,0.03166376,PubMed
0.07337922,0.012139171,0.47392938,0.13915415,0.02569528,0.0013772041,0.0785735,0.19575213,PubMed
0.47655606,0.008302227,0.1817286,0.17105986,0.03687359,0.0010423941,0.0876562,0.036781043,PubMed
0.3513505,0.4644256,0.002047252,0.002781336,0.0098615,0.0567315,0.11016452,0.0026378273,PubMed
0.4440635,0.31501818,0.0018506929,0.0026356797,0.14820631,0.0013792025,0.051464036,0.035382397,Preprints
0.45832333,0.364339,0.0022803321,0.0032556504,0.015741391,0.0017172764,0.06613165,0.08821137,PubMed
0.06497263,0.266887,0.20218796,0.0029140513,0.003553832,0.1296579,0.0060534137,0.3237732,PubMed
0.23823003,0.06356014,0.29767394,0.0030145703,0.013342544,0.24717185,0.13472722,0.0022796995,PubMed
0.010736101,0.007977682,0.081516296,0.7817108,0.0032923075,0.0015492896,0.11073843,0.0024791071,PubMed
0.040173437,0.20444672,0.0018496456,0.7148848,0.0031589759,0.0013936912,0.005947289,0.028145464,PubMed
0.09445987,0.16087675,0.0017558248,0.5237901,0.0026887937,0.001237078,0.21322992,0.0019616487,Preprints
0.102970175,0.043925826,0.13845138,0.36181718,0.04623883,0.15386842,0.15024884,0.0024793232,Preprints
0.039087195,0.055804655,0.0015998008,0.7349093,0.0025637858,0.08168478,0.08198126,0.0023692215,PubMed
0.28245896,0.030587127,0.010996092,0.42606267,0.074595176,0.0014631278,0.17135946,0.0024774168,PubMed
0.009596941,0.04139327,0.036107678,0.6922415,0.0025928044,0.027099349,0.014334807,0.17663363,PubMed
0.11200378,0.029183019,0.048645318,0.74193233,0.0025168415,0.00112482,0.048529267,0.01606455,PubMed
0.44073737,0.30041015,0.0034878727,0.22825395,0.005671789,0.002636974,0.014412819,0.004389049,Preprints
0.47590864,0.11283789,0.07253945,0.15768416,0.16782637,0.0011432705,0.01018746,0.0018727136,Preprints
0.11379162,0.029784756,0.09255064,0.7005859,0.0022072352,0.0009432532,0.031445593,0.028691009,PubMed
0.07612931,0.046956297,0.02335005,0.48090547,0.027507631,0.14271608,0.18170726,0.02072789,PubMed
0.053900905,0.091625996,0.020781364,0.69084775,0.0028194485,0.0012124187,0.13677394,0.002038169,PubMed
0.7754354,0.011733383,0.092769995,0.09292886,0.0032564725,0.0015890375,0.01971979,0.0025670766,Preprints
0.09365932,0.0061794855,0.21242781,0.13081972,0.1029419,0.25248042,0.15897878,0.04251257,PubMed
0.14779048,0.08154282,0.0043798257,0.068354614,0.0025616987,0.43537018,0.0062091206,0.25379124,PubMed
0.011439631,0.44628873,0.1352956,0.035800356,0.0018695283,0.06921653,0.09107773,0.20901187,PubMed
0.12095649,0.021679072,0.0070973933,0.6999553,0.043396868,0.046096265,0.060078707,0.0007399104,PubMed
0.14994015,0.26769793,0.14687277,0.32767528,0.035879236,0.0007051664,0.07000574,0.0012237012,PubMed
0.1428936,0.49964264,0.08841541,0.057985872,0.0037965584,0.0017169365,0.014424587,0.19112444,PubMed
0.08957,0.2585356,0.023015108,0.054584928,0.002342319,0.42470264,0.06409274,0.08315669,PubMed
0.08303705,0.42423213,0.0008981589,0.012020007,0.26262528,0.03813934,0.15131113,0.027736949,PubMed
0.003322458,0.08276235,0.0006700245,0.12847476,0.25220454,0.00049727026,0.51728857,0.014780008,PubMed
0.03558361,0.22130364,0.3297186,0.27586368,0.027878268,0.014370421,0.09259544,0.0026863152,PubMed
0.036370967,0.50432074,0.001012154,0.14202182,0.057690088,0.05308929,0.14742486,0.058070026,Preprints
0.061421692,0.3591836,0.07545151,0.17396894,0.1322234,0.0014532189,0.12566476,0.0706329,PubMed
0.13481261,0.27675727,0.0022139181,0.13863717,0.22473694,0.015702466,0.20444876,0.0026908559,PubMed
0.08944602,0.14480484,0.22918035,0.027179155,0.0013809882,0.0006159988,0.47450027,0.032892343,PubMed
0.07989996,0.14435701,0.0022104774,0.021201678,0.09871719,0.00167925,0.5950251,0.056909323,PubMed
0.120119914,0.13023755,0.0026245092,0.29181764,0.25512594,0.0018937081,0.1950646,0.0031160868,PubMed
0.07590079,0.15189396,0.019058216,0.0022997072,0.10152007,0.0011666451,0.6273076,0.02085305,Preprints
0.051577706,0.38123167,0.016465893,0.1153336,0.07365267,0.0013444297,0.28137717,0.079016864,Preprints
0.2592841,0.12306203,0.0024610746,0.32876664,0.10281406,0.0018395707,0.17887269,0.0028997625,Preprints
0.13818246,0.074245594,0.002397633,0.24088176,0.052246094,0.0017985,0.17961687,0.31063107,PubMed
0.16184741,0.20169076,0.0023218873,0.15012306,0.3070711,0.026706325,0.124240555,0.025998922,PubMed
0.04398112,0.30340698,0.05290984,0.0031315908,0.1352491,0.0016283729,0.43705326,0.02263973,Preprints
0.33291364,0.351749,0.0009932816,0.0014228815,0.19062708,0.014101351,0.106938735,0.0012540666,Preprints
0.23584247,0.15872537,0.0023624725,0.13755414,0.44461662,0.0017467067,0.015999619,0.0031525907,PubMed
0.034884494,0.5977996,0.001781889,0.017886927,0.21173663,0.0012984062,0.13249028,0.0021217854,Preprints
0.12280687,0.40574053,0.053345207,0.0021267077,0.26702303,0.0011065634,0.11667369,0.031177422,Preprints
0.14522736,0.3867985,0.023204584,0.031841867,0.083136745,0.1916423,0.13709225,0.0010564316,Preprints
0.16214497,0.4236916,0.002094413,0.04952786,0.1776332,0.0015540068,0.14514346,0.038210455,Preprints
0.12551768,0.21655123,0.002490401,0.06344604,0.17208333,0.0018920423,0.29048312,0.12753616,Preprints
0.07207665,0.31256515,0.0025905839,0.07707688,0.004489452,0.036848895,0.49121416,0.0031382514,Preprints
0.1046015,0.3040532,0.121197484,0.27726284,0.056813717,0.0012885836,0.13270438,0.002078315,PubMed
0.11272545,0.4368475,0.0020806072,0.1269569,0.16318192,0.033496518,0.12219617,0.0025149328,Preprints
0.24287464,0.37758383,0.21024877,0.0024643077,0.15267187,0.0013037433,0.01073984,0.0021130343,PubMed
0.064484395,0.53888,0.0017727189,0.061350245,0.11268472,0.0013467225,0.14658749,0.072893746,PubMed
0.016617605,0.5091226,0.0020878292,0.016806545,0.0031007365,0.11167267,0.02569345,0.31489858,PubMed
0.14983279,0.05452745,0.46282303,0.16175285,0.05117558,0.00069977564,0.026601909,0.0925866,PubMed
0.14923997,0.21935003,0.2639141,0.00236408,0.0025277429,0.09222656,0.016645366,0.2537322,Preprints
0.23173693,0.42066354,0.0018154529,0.03486865,0.00286187,0.0013602508,0.0076527246,0.2990406,Preprints
0.24860883,0.13304842,0.026332637,0.0044638542,0.011646469,0.0018399828,0.4237721,0.15028772,Preprints
0.17628859,0.15727533,0.0015232468,0.2586157,0.00242538,0.03886016,0.34231603,0.02269553,PubMed
0.21105345,0.18157834,0.028574834,0.002222031,0.0025138846,0.16240145,0.05983979,0.35181624,PubMed
0.28853357,0.41725203,0.0022452231,0.003354015,0.14669812,0.0016773015,0.10255426,0.03768546,PubMed
0.097771004,0.5009492,0.05045868,0.061475705,0.06221234,0.096360624,0.060340423,0.07043204,Preprints
0.53662723,0.054899305,0.15862907,0.075661786,0.12311664,0.0014678312,0.005263893,0.04433421,PubMed
0.1559954,0.2539137,0.42009902,0.022465307,0.002457912,0.04076379,0.0075642522,0.09674059,PubMed
0.05113004,0.18569656,0.12849224,0.020812182,0.5399983,0.001173939,0.005544192,0.06715254,Preprints
0.011639364,0.6038253,0.0014128456,0.001975922,0.07363776,0.22748967,0.019837607,0.060181558,PubMed
0.055104915,0.41440976,0.00087906164,0.007244905,0.0069402712,0.41846317,0.0045607826,0.09239717,PubMed
0.10113652,0.22874008,0.022997279,0.002703963,0.003016175,0.2826028,0.0076322122,0.35117102,PubMed
0.023525622,0.1257784,0.24737287,0.0013578491,0.040980496,0.15938659,0.003389818,0.39820832,PubMed
0.058334965,0.3045124,0.012265218,0.03776885,0.030553892,0.40967116,0.03468674,0.11220674,PubMed
0.0437993,0.03789215,0.0887822,0.0020912746,0.0022944885,0.21638253,0.011824412,0.59693366,PubMed
0.111716405,0.13888869,0.14433789,0.019284299,0.032119732,0.54231215,0.008518294,0.002822506,PubMed
0.44215176,0.046077386,0.06560208,0.0035093063,0.0038036162,0.3730429,0.06277876,0.00303422,PubMed
0.057400644,0.13214059,0.50133467,0.0019525861,0.047341075,0.065389484,0.19265248,0.0017885064,PubMed
0.08659637,0.13024625,0.0015422084,0.7285338,0.011186792,0.022525648,0.017278269,0.0020906269,PubMed
0.23315185,0.016343158,0.002070243,0.00312062,0.11183753,0.02964768,0.5247313,0.07909762,Preprints
0.106594354,0.06856525,0.021862542,0.090482675,0.28186917,0.0020608732,0.35968962,0.068875544,Preprints
0.071758814,0.7019611,0.0005755795,0.00085686205,0.0009416528,0.0004327946,0.13938254,0.084090635,PubMed
0.17876148,0.19001547,0.00068133336,0.0010648842,0.0010467304,0.00051564164,0.6172897,0.010624744,PubMed
0.17772563,0.23504187,0.03778961,0.2015284,0.023006216,0.01947546,0.30318737,0.002245426,Preprints
0.23475286,0.01828697,0.06573501,0.2960117,0.035873152,0.0008359868,0.3169694,0.03153491,PubMed
0.09573618,0.3017259,0.0023094853,0.0036402903,0.11786847,0.0017225563,0.38424522,0.092751876,PubMed
0.3286052,0.21064946,0.0016690779,0.34551993,0.0026492334,0.0012182435,0.10771982,0.0019690595,Preprints
0.1446031,0.012427381,0.002004878,0.39483148,0.0032554956,0.0015115652,0.43875185,0.0026142565,Preprints
0.16817166,0.2707475,0.061347473,0.3541013,0.03571212,0.0014123035,0.06848898,0.04001866,PubMed
0.09306008,0.030844463,0.0373462,0.52603126,0.09834936,0.000956439,0.047207832,0.16620438,PubMed
0.13836281,0.0860255,0.0015213307,0.7194294,0.0023020576,0.001153582,0.018459417,0.032745942,PubMed
0.05486745,0.10109562,0.19908045,0.39672345,0.09610677,0.031983674,0.094105475,0.02603714,PubMed
0.16543752,0.2634997,0.020868225,0.36183602,0.0020778698,0.00081410113,0.18411727,0.0013492946,PubMed
0.12870632,0.008348192,0.001884294,0.63551176,0.0028631906,0.0014359669,0.21896517,0.0022850856,PubMed
0.029547755,0.22495425,0.10679708,0.09389292,0.20094065,0.010162448,0.28886744,0.044837434,Preprints
