phrase,mean_tfidf,doc_freq
precision medicine,0.01715157889541391,15
gene expression,0.015115523445572232,10
pre trained,0.015105171202472354,21
fine tuned,0.01420731907212802,12
open source,0.012739444891187895,12
genetic testing,0.012417695329221016,11
intelligence ai,0.012174675566700098,21
breast cancer,0.01142644789755521,6
genetic variants,0.011379226778220298,14
genetic conditions,0.01049881545209432,5
electronic health,0.010332723852941119,11
single cell,0.010312546348073475,3
fine tuning,0.010296886300289017,13
biomedical literature,0.010142745234695631,10
attention mechanism,0.010003876974675198,13
medical education,0.009986462419734964,6
real world,0.009903596564597224,12
clinical genetics,0.009298168483130628,5
genetic disorders,0.009137081087691578,8
rare disease,0.009065416288724886,8
association studies,0.00896199912082763,7
health records,0.008927410739977432,9
decision making,0.008919826903086799,15
large scale,0.008878257155146644,13
alzheimer disease,0.00879417830409929,8
scientific literature,0.008728374122337214,6
trained transformer,0.008609991015781752,9
remains challenging,0.008539724423408161,8
medical image,0.008476702164638927,7
pre training,0.00842460700367849,6
