phrase,mean_tfidf,doc_freq
gene expression,0.02229422325255775,9
fine tuned,0.019386685623643943,10
precision medicine,0.015840691635201735,8
gpt 4o,0.01399617388759889,5
single cell,0.013593701116239093,4
pre trained,0.01350817277177925,11
open source,0.013486568228311792,10
health records,0.01341268247373495,9
fine tuning,0.013047164560533791,10
large scale,0.012773696289921116,9
electronic health,0.012441124681423402,9
question answering,0.011872235664341228,7
electronic health records,0.011646254015291554,8
genetic perturbations,0.011611806267893683,4
genotype phenotype,0.01156544693155778,5
genetic testing,0.011512360551545128,3
task specific,0.01145236771177395,5
remains challenging,0.011037544185339608,7
high quality,0.010964932990139429,6
self supervised,0.010443006295164481,4
decision making,0.010377309461827681,8
vision language,0.010075736806965364,3
pre training,0.01004665422124749,6
genetic biomarkers,0.009780558914824655,4
genetic variants,0.00955359235270518,7
scientific literature,0.00944230452733568,3
cross species,0.009374367339702858,4
literature search,0.009150832590038105,2
gena lm,0.009085796018961747,2
bace1 inhibitors,0.009053513920475771,1
