phrase,mean_tfidf,doc_freq
pre trained,0.017619747365040943,14
genetic testing,0.016223526294500093,10
precision medicine,0.01592489815355877,9
intelligence ai,0.014511139143246251,18
breast cancer,0.01347127332969709,4
gene expression,0.013009640804921235,6
medical education,0.012570406302108135,5
biomedical literature,0.012447400222597592,8
diagnostic accuracy,0.01206551861917872,6
clinical genetics,0.011703519806777517,3
genetic variants,0.011623047938363457,9
genetic disorders,0.011549401673328026,6
clinical notes,0.01133850893694842,7
generative pre trained,0.01131229759430471,8
generative pre,0.01131229759430471,8
genetic counseling,0.01117935062759792,3
f1 score,0.01111119499163913,11
trained transformer,0.011068347012595613,8
pre trained transformer,0.010573899105167591,7
genetic conditions,0.010522522407034256,4
open source,0.010011922087270968,5
alzheimer disease,0.009905788284084801,5
real world,0.009847589891498476,8
attention mechanism,0.009788714226834559,10
rare genetic,0.009600211256229247,6
association studies,0.009349301459925878,4
single cell,0.00910884902158191,2
rare disease,0.009024187692843664,4
retrieval augmented,0.009007085138707393,7
ai generated,0.008979849445231376,4
