phrase,mean_tfidf,doc_freq
precision medicine,0.0214520619326249,15
pre trained,0.01810967800155935,21
fine tuned,0.017732854958694973,12
open source,0.016788514177603218,12
gene expression,0.016599096282343302,10
intelligence ai,0.01424175899177042,21
genetic testing,0.014065958672943014,11
genetic conditions,0.013255137504541888,5
biomedical literature,0.01301066833164419,10
genetic variants,0.012879614759461592,14
electronic health,0.012822633366953719,11
attention mechanism,0.01181779648459626,13
breast cancer,0.011801224277019014,6
fine tuning,0.01176867875648399,13
real world,0.011656189788252594,12
alzheimer disease,0.01143416059083673,8
health records,0.011385990705181337,9
single cell,0.011372988917725481,3
large scale,0.011043241905391885,13
clinical notes,0.01102147368543155,8
remains challenging,0.010966957453455889,8
uk biobank,0.010567460086409738,6
medical education,0.010532344621214995,6
association studies,0.01023470620107286,7
scientific literature,0.010212206249668447,6
trained transformer,0.01009651762314864,9
clinical genetics,0.010072972945510579,5
electronic health records,0.010061107789141908,8
genetic disorders,0.010042455544157345,8
retrieval augmented,0.009964534226859887,10
