phrase,mean_tfidf,doc_freq
fine tuned,0.02557824826347735,7
gene expression,0.019739784985339324,4
precision medicine,0.019003963507359924,6
open source,0.01812150102720626,7
genotype phenotype,0.01767421493484766,5
health records,0.015682484595331576,6
fine tuning,0.01526214824083714,6
task specific,0.015095588879902467,5
medical image,0.014205932954308388,3
pre trained,0.014174583254113155,7
electronic health,0.014090732935490485,6
gena lm,0.0135531643937319,2
pre training,0.01353809794936975,4
gpt 4o,0.013427061956793173,3
electronic health records,0.012731910619574172,5
question answering,0.012457153075194363,5
genetic variant,0.012211153647197139,3
gp gpt,0.011952974203848082,1
cross reactivity,0.011559097814233288,1
single cell,0.011471156373213675,1
genetic variants,0.011137586858709707,5
gynecologic oncology,0.011011780317925978,1
medical genetics,0.010903972195856123,3
attention mechanism,0.010842865795626887,3
alzheimer disease,0.010740232314211095,3
genetic biomarkers,0.01066020238161584,3
remains challenging,0.010509280231867112,5
cell biology,0.010208436232783235,1
medical images,0.01018895462869471,1
functional evidence,0.010026636860665987,1
