phrase,mean_tfidf,doc_freq
pre trained,0.020669557144228166,14
precision medicine,0.020449780501802635,9
genetic testing,0.018500574287450295,10
biomedical literature,0.016701012567446383,8
intelligence ai,0.016488727166882648,18
gene expression,0.015209914133741474,6
diagnostic accuracy,0.014694005330626422,6
clinical notes,0.014330836619824532,7
breast cancer,0.01395602624890049,4
open source,0.013874284965212556,5
genetic conditions,0.013763942527800178,4
genetic variants,0.013543364770560019,9
medical education,0.013294078664706088,5
genetic disorders,0.012827892122668957,6
clinical genetics,0.012699813244540139,3
real world,0.012456414350164063,8
generative pre,0.012357262776407058,8
generative pre trained,0.012357262776407058,8
f1 score,0.012335129551956064,11
trained transformer,0.012016083449357395,8
genetic counseling,0.012005318096066833,3
attention mechanism,0.011905851474848956,10
alzheimer disease,0.011433256837690435,5
pre trained transformer,0.011422960373690004,7
dna sequences,0.011244288099845474,3
healthcare applications,0.011052451871612886,4
rare genetic,0.01088535141730342,6
retrieval augmented,0.010783868624252728,7
large scale,0.010659017718654776,8
association studies,0.010635729722506971,4
