phrase,mean_tfidf,doc_freq
language models,0.019912819019016603,4614
large language,0.019476938993481258,4639
artificial intelligence,0.018396452535404378,4489
deep learning,0.01813421536986351,4452
covid 19,0.01739797605318273,2052
year old,0.017361255608311844,4055
case report,0.016854907981837402,3254
95 ci,0.016141004667088635,2222
large language models,0.01602133305374897,3863
machine learning,0.014000034735776648,3130
natural language,0.013071059696475148,3533
long term,0.011849710545675216,2061
language processing,0.011618321831546721,3189
state art,0.011485100006534889,3685
natural language processing,0.01131005793953038,3131
sup sup,0.01056163146713278,1239
decision making,0.00989889346093085,2071
gene expression,0.009810193142562387,1363
prompt diagnosis,0.00880827576362311,1698
models llms,0.008668833721357379,2584
language models llms,0.008602065658106027,2576
language model,0.008588254605174487,2003
public health,0.008553102269025748,1533
risk factors,0.008471865204457573,1533
real world,0.008383711310424112,1832
intelligence ai,0.008193197802071318,2438
artificial intelligence ai,0.008118641829534175,2417
sars cov,0.008062213572752549,829
neural network,0.007967636749312224,1964
mental health,0.007930450222656751,923
