phrase,mean_tfidf,doc_freq
language models,0.04552551064676357,70
large language,0.045443729835993305,72
large language models,0.03981865611508121,61
deep learning,0.0262490567552208,39
artificial intelligence,0.025381632704219354,37
generative ai,0.020735790123775515,15
state art,0.01981947191583372,41
language models llms,0.019751994456517118,41
models llms,0.019751994456517118,41
language model,0.019684355021165834,29
natural language,0.01802269076775275,19
machine learning,0.01797797642644959,24
precision medicine,0.01715157889541391,15
transformer based,0.016898806486527623,25
language processing,0.015929406620030364,17
natural language processing,0.015929406620030364,17
gene expression,0.015115523445572232,10
pre trained,0.015105171202472354,21
fine tuned,0.01420731907212802,12
large language model,0.013615935050471211,18
open source,0.012739444891187895,12
learning models,0.012445832078898279,16
genetic testing,0.012417695329221016,11
intelligence ai,0.012174675566700098,21
artificial intelligence ai,0.012174675566700098,21
breast cancer,0.01142644789755521,6
genetic variants,0.011379226778220298,14
foundation model,0.011200336558935008,9
github com,0.010745737685599045,13
https github,0.010745737685599045,13
