phrase,mean_tfidf,doc_freq
language models,0.04608301336493216,34
large language,0.043387487582466855,32
large language models,0.037166458181811676,28
fine tuned,0.021363297486418215,7
models llms,0.020369665947218417,18
language models llms,0.020369665947218417,18
language model,0.02031652011196423,13
machine learning,0.019660049689041153,11
gene expression,0.018721871618844137,4
state art,0.01851576449087655,13
transformer based,0.01766866326431655,8
precision medicine,0.016049830889279183,6
open source,0.01502183899057103,7
genotype phenotype,0.014845468100310687,5
large language model,0.013488826304091876,8
health records,0.013474412020709791,6
task specific,0.013136329089835407,5
model trained,0.01306431999904749,3
deep learning,0.012886047999028693,8
fine tuning,0.012871669482536461,6
https github,0.012752212895031841,8
https github com,0.012752212895031841,8
github com,0.012752212895031841,8
gpt 4o,0.012593846811323327,3
medical image,0.012525292495570743,3
natural language,0.012464118428428993,6
generative ai,0.01237776954004818,3
pre trained,0.012310725689413465,7
gena lm,0.012308670065511394,2
artificial intelligence,0.012215324937990449,8
