phrase,mean_tfidf,doc_freq
large language,0.04275808834947955,40
language models,0.03988990360629625,36
large language models,0.038098736539770625,33
deep learning,0.032950589203298984,31
artificial intelligence,0.03108756910477207,29
generative ai,0.023252984637260218,12
natural language,0.02032279946695607,13
state art,0.019675228332932244,28
natural language processing,0.018647212399995585,12
language processing,0.018647212399995585,12
language models llms,0.018143707171369303,23
models llms,0.018143707171369303,23
pre trained,0.017619747365040943,14
language model,0.016395339977001395,16
genetic testing,0.016223526294500093,10
precision medicine,0.01592489815355877,9
machine learning,0.014992250915313239,13
transformer based,0.014642524848183177,17
intelligence ai,0.014511139143246251,18
artificial intelligence ai,0.014511139143246251,18
learning models,0.013853836482690571,10
breast cancer,0.01347127332969709,4
gene expression,0.013009640804921235,6
medical education,0.012570406302108135,5
biomedical literature,0.012447400222597592,8
large language model,0.012347972297374228,10
diagnostic accuracy,0.01206551861917872,6
clinical genetics,0.011703519806777517,3
genetic variants,0.011623047938363457,9
genetic disorders,0.011549401673328026,6
